,Time,Emotions
0,0,-1
1,1,0
2,1,-1
3,1,-2
4,1,0
5,1,-1
6,1,-2
7,1,-3
8,1,0
9,1,-1
10,1,0
11,1,0
12,1,0
13,1,0
14,1,-1
15,1,-2
16,1,-3
17,1,-4
18,1,-5
19,1,-6
20,1,-7
21,1,-8
22,1,-9
23,1,0
24,1,1
25,1,0
26,1,-1
27,1,0
28,1,-1
29,1,0
30,1,-1
31,1,0
32,1,0
33,1,-1
34,1,0
35,1,-1
36,1,0
37,1,0
38,1,0
39,1,-1
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,-1
47,1,-2
48,1,-3
49,1,-4
50,1,-3
51,1,-4
52,1,0
53,1,-1
54,1,-2
55,1,0
56,1,-1
57,1,0
58,1,-1
59,1,-2
60,1,-3
61,1,-4
62,1,-5
63,1,-6
64,1,-7
65,1,-8
66,1,-9
67,1,-10
68,1,-11
69,1,-12
70,1,-13
71,1,-14
72,1,-15
73,1,-16
74,1,-17
75,1,-18
76,1,-19
77,1,-20
78,1,-21
79,1,-22
80,1,-23
81,1,0
82,1,0
83,1,-1
84,1,-2
85,1,-3
86,1,-4
87,1,-5
88,1,-6
89,1,-7
90,1,-8
91,1,-1
92,1,-2
93,1,-1
94,1,-2
95,1,-1
96,1,-2
97,1,-1
98,1,-1
99,1,-2
100,1,-1
101,1,-2
102,1,-1
103,1,0
104,1,-1
105,1,0
106,1,-1
107,1,0
108,1,-1
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,-1
116,1,0
117,1,0
118,1,0
119,1,-1
120,1,0
121,1,0
122,1,-1
123,1,-2
124,1,0
125,1,-1
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,-1
134,1,-2
135,1,0
136,1,0
137,1,-1
138,1,0
139,1,-1
140,1,0
141,1,0
142,1,0
143,1,1
144,1,0
145,1,0
146,1,1
147,1,0
148,1,-1
149,1,-2
150,1,0
151,1,0
152,1,-1
153,1,-2
154,1,-3
155,1,-4
156,1,0
157,1,0
158,1,-1
159,1,0
160,1,-1
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,-1
170,1,-2
171,1,-3
172,1,-2
173,1,0
174,1,-1
175,1,0
176,1,1
177,1,0
178,1,-1
179,1,0
180,1,-1
181,1,0
182,1,-1
183,1,0
184,1,-1
185,1,-2
186,1,-1
187,1,-1
188,1,0
189,1,-1
190,1,0
191,1,-1
192,1,-2
193,1,-3
194,1,-4
195,1,-5
196,1,-4
197,1,-5
198,1,-4
199,1,-5
200,1,-4
201,1,-5
202,1,-4
203,1,-5
204,1,-6
205,1,-5
206,1,0
207,1,1
208,1,0
209,1,-1
210,1,0
211,1,-1
212,1,0
213,1,-1
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,-1
222,1,-2
223,1,-1
224,1,-2
225,1,0
226,1,1
227,1,0
228,1,1
x_Time,y_EmoSum
